
3973, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22
3166, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3209, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3323, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3683, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3393, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3427, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3939, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24
3661, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3085, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3471, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3176, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3133, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 2 / 3
3942, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 16 / 24, 0 / 24, 0 / 24
3413, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3476, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3293, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3990, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20
3183, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3226, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3144, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3
3313, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3995, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20
3188, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3231, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3675, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3793, 0 / 47, 0 / 47, 0 / 47, 0 / 47, 0 / 47, 0 / 47, 0 / 47, 0 / 47
3437, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3158, 0 / 3, 0 / 3
3811, 0 / 49, 9 / 49, 17 / 49, 0 / 49, 0 / 49, 0 / 49, 0 / 49, 0 / 49
3876, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34
3107, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3784, 0 / 50, 0 / 50, 0 / 50, 0 / 50, 0 / 50, 0 / 50, 0 / 50, 0 / 50
3621, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3070, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3113, 0 / 3, 2 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3
3665, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3629, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3882, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32
3075, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3338, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3859, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36
3955, 0 / 23, 0 / 23, 0 / 23, 3 / 23, 0 / 23, 3 / 23, 0 / 23, 0 / 23
