3981, 13 / 21, 0 / 21, 0 / 21, 11 / 21, 12 / 21, 11 / 21, 15 / 21, 0 / 21
3906, 0 / 28, 0 / 28, 2 / 28, 0 / 28, 0 / 28, 0 / 28, 2 / 28, 0 / 28
3099, 0 / 3, 0 / 3, 2 / 3, 1 / 3, 0 / 3, 0 / 3, 2 / 3, 2 / 3
3698, 0 / 113, 23 / 113, 23 / 113, 0 / 113, 0 / 113, 1 / 113, 0 / 113, 0 / 113
3955, 6 / 23, 0 / 23, 3 / 23, 14 / 23, 7 / 23, 3 / 23, 14 / 23, 9 / 23
3912, 12 / 27, 7 / 27, 0 / 27, 0 / 27, 7 / 27, 9 / 27, 0 / 27
3143, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3
3892, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30
3657, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 1 / 2, 1 / 2
3106, 2 / 3, 1 / 3, 0 / 3, 2 / 3, 3 / 3, 1 / 3, 1 / 3, 1 / 3
3149, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3266, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3127, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3
3273, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3
3367, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3878, 1 / 33, 2 / 33, 0 / 33, 0 / 33, 1 / 33, 2 / 33, 1 / 33, 0 / 33
3105, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 2 / 3, 3 / 3
3283, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3
3411, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2
3928, 1 / 26, 2 / 26, 6 / 26, 1 / 26, 1 / 26, 1 / 26, 6 / 26, 5 / 26
3669, 2 / 2, 2 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 0 / 2
3118, 0 / 3, 0 / 3, 0 / 3, 3 / 3, 0 / 3, 2 / 3, 1 / 3, 0 / 3
3161, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3446, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3187, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 3 / 3, 1 / 3, 1 / 3, 1 / 3
3297, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3
3379, 2 / 2, 0 / 2, 1 / 2, 2 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2
3171, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3
3421, 1 / 2, 2 / 2, 2 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2
3307, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3
3423, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 0 / 2
3964, 10 / 22, 13 / 22, 7 / 22, 0 / 22, 4 / 22, 0 / 22, 0 / 22, 0 / 22
3681, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3130, 2 / 3, 1 / 3, 1 / 3, 2 / 3, 2 / 3, 2 / 3, 2 / 3, 1 / 3
3173, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3626, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 2 / 2, 0 / 2, 1 / 2, 1 / 2
3247, 0 / 3, 1 / 3, 2 / 3, 0 / 3, 0 / 3, 0 / 3, 3 / 3, 0 / 3
3321, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3391, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2
3363, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3481, 1 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3331, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3435, 2 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 2 / 2, 0 / 2
3693, 0 / 124, 86 / 124, 38 / 124, 0 / 124, 0 / 124, 0 / 124, 114 / 124, 0 / 124
3142, 0 / 3, 0 / 3, 0 / 3, 3 / 3, 3 / 3, 0 / 3, 3 / 3
3185, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 3 / 3
3806, 3 / 45, 0 / 45, 0 / 45, 1 / 45, 0 / 45, 0 / 45, 0 / 45, 0 / 45
3116, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3345, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3403, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3555, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2
3541, 1 / 2, 2 / 2, 1 / 2, 1 / 2, 0 / 2, 2 / 2, 1 / 2, 1 / 2
3355, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3447, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2
3177, 1 / 3, 2 / 3, 1 / 3, 1 / 3, 1 / 3, 2 / 3, 1 / 3, 2 / 3
3961, 0 / 22, 0 / 22, 1 / 22, 0 / 22, 0 / 22, 1 / 22, 1 / 22, 0 / 22
3154, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 2 / 3
3197, 1 / 3, 2 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 2 / 3, 1 / 3
3986, 6 / 20, 8 / 20, 10 / 20, 9 / 20, 5 / 20, 0 / 20, 5 / 20, 8 / 20
3101, 1 / 3, 2 / 3, 1 / 3, 1 / 3, 1 / 3, 2 / 3, 2 / 3, 2 / 3
3369, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2
3415, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3747, 35 / 60, 42 / 60, 44 / 60, 44 / 60, 44 / 60, 42 / 60, 16 / 60, 44 / 60
3601, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2
3061, 0 / 4, 0 / 4, 2 / 4, 2 / 4, 0 / 4, 2 / 4, 1 / 4, 0 / 4
3459, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3225, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3
3973, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22
3166, 0 / 3, 2 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3
3209, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3
3323, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2
3683, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2
3393, 0 / 2, 2 / 2, 2 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3427, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 1 / 2, 1 / 2
3939, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 0 / 24, 3 / 24, 0 / 24
3661, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3085, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3
3471, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3176, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3133, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 2 / 3, 2 / 3
3942, 17 / 24, 3 / 24, 15 / 24, 0 / 24, 0 / 24, 17 / 24, 17 / 24, 17 / 24
3413, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 0 / 2, 0 / 2, 1 / 2, 2 / 2
3476, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3293, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 1 / 3
3990, 3 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20, 9 / 20, 1 / 20, 9 / 20
3183, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3
3226, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3
3144, 2 / 3, 0 / 3, 2 / 3, 2 / 3, 1 / 3, 2 / 3, 2 / 3, 0 / 3
3313, 2 / 3, 0 / 3, 2 / 3, 0 / 3, 0 / 3, 2 / 3, 2 / 3, 1 / 3
3995, 4 / 20, 6 / 20, 6 / 20, 1 / 20, 0 / 20, 6 / 20, 6 / 20, 7 / 20
3188, 1 / 3, 2 / 3, 1 / 3, 2 / 3, 1 / 3, 1 / 3, 0 / 3, 3 / 3
3231, 1 / 3, 2 / 3, 0 / 3, 2 / 3, 2 / 3, 2 / 3, 2 / 3
3675, 0 / 3, 1 / 3, 3 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
